step,actic loss,critic loss,average distance,time
10,-24184.2665,769662.1420,869.2544,0min12sec
20,-24089.8284,765950.4494,869.0799,0min16sec
30,-23896.4364,755468.6512,869.0954,0min15sec
40,-23539.9078,736410.0229,868.0961,0min14sec
50,-23022.7498,710406.6360,867.1288,0min14sec
60,-22157.7383,673285.6967,863.2663,0min15sec
70,-20830.5550,623588.5594,853.5174,0min15sec
80,-19044.1564,565502.0083,837.0418,0min20sec
90,-17193.7112,508998.3682,819.1446,0min20sec
100,-15511.9663,459968.6944,803.2455,0min17sec
110,-14108.2305,419624.2656,790.1673,0min17sec
120,-12942.2899,385928.7692,779.1549,0min15sec
130,-11956.3896,357375.1130,769.7436,0min15sec
140,-11108.6321,332821.6907,761.7852,0min15sec
150,-10373.7534,311511.0639,754.4718,0min15sec
160,-9729.6259,292864.7517,748.0518,0min15sec
170,-9160.9361,276377.0417,742.3567,0min15sec
180,-8655.4735,261691.4351,737.2174,0min15sec
190,-8202.1485,248568.3513,732.7527,0min15sec
200,-7794.3832,236741.1522,728.6629,0min18sec
210,-7426.8494,226031.5261,724.8356,0min18sec
220,-7089.7814,216306.3419,721.4147,0min20sec
230,-6782.7545,207431.4439,718.2907,0min24sec
240,-6501.8603,199283.0357,715.4423,0min31sec
250,-6242.9682,191777.9571,712.8816,0min33sec
260,-6004.3496,184871.9044,710.5324,0min23sec
270,-5783.0331,178461.0717,708.2489,0min18sec
280,-5577.1203,172496.4309,706.1163,0min20sec
290,-5385.7209,166946.9019,704.2009,0min22sec
300,-5207.0178,161769.5416,702.2737,0min22sec
310,-5040.1239,156920.6196,700.6378,0min22sec
320,-4882.8955,152364.6518,699.0622,0min24sec
330,-4735.5802,148076.9978,697.5350,0min26sec
340,-4596.6903,144059.4971,696.1999,0min25sec
350,-4465.9319,140268.5708,694.9273,0min22sec
360,-4342.4833,136677.0929,693.6485,0min22sec
370,-4224.8409,133285.9511,692.4469,0min33sec
380,-4113.9898,130075.2196,691.2768,0min31sec
390,-4008.6890,127025.1496,690.2286,0min35sec
400,-3908.5912,124139.1112,689.2493,0min20sec
410,-3813.8872,121382.4029,688.4623,0min17sec
420,-3723.1857,118752.2065,687.8605,0min18sec
430,-3636.7655,116259.2646,687.0657,0min18sec
440,-3554.3830,113878.7429,686.2359,0min20sec
450,-3475.5404,111598.6815,685.5246,0min20sec
460,-3399.8511,109410.9817,684.7766,0min22sec
470,-3327.7459,107311.0306,684.0116,0min25sec
480,-3258.5063,105305.7052,683.3142,0min26sec
490,-3191.7895,103389.4435,682.7185,0min28sec
500,-3128.5678,101554.4365,682.0376,0min24sec
510,-3067.2243,99775.9817,681.5331,0min25sec
520,-3008.1271,98076.9181,681.0201,0min23sec
530,-2951.8982,96436.7875,680.4448,0min39sec
540,-2897.2702,94852.5125,680.1216,0min54sec
550,-2844.9588,93324.8798,679.6123,0min55sec
560,-2794.1790,91851.4590,679.0836,0min38sec
570,-2745.2656,90433.6100,678.5570,0min29sec
580,-2698.1799,89067.5691,678.0133,0min25sec
590,-2652.6512,87746.6541,677.4765,0min24sec
600,-2608.4917,86471.6305,676.9569,0min23sec
610,-2565.9582,85233.6534,676.4436,0min23sec
620,-2524.5566,84037.3551,675.9699,0min24sec
630,-2484.4836,82886.7646,675.5137,0min24sec
640,-2445.7296,81767.3884,675.1279,0min23sec
650,-2408.2548,80676.3978,674.6873,0min24sec
660,-2371.9280,79624.1543,674.2332,0min28sec
670,-2336.5323,78600.8076,673.8222,0min41sec
680,-2302.3112,77605.0537,673.4419,0min41sec
690,-2268.8523,76639.1697,673.0449,0min41sec
700,-2236.5825,75694.8651,672.6185,0min41sec
710,-2205.0734,74780.9568,672.2164,0min41sec
720,-2174.2177,73890.6677,671.8759,0min41sec
730,-2144.5565,73025.6191,671.5692,0min42sec
740,-2115.6251,72182.9385,671.2499,0min41sec
750,-2087.3209,71367.4389,670.9489,0min42sec
760,-2059.8177,70574.3099,670.6402,0min41sec
770,-2033.0876,69796.0318,670.2774,0min40sec
780,-2007.1137,69045.8916,669.8999,0min41sec
790,-1981.7784,68306.5172,669.5821,0min41sec
800,-1956.8651,67586.0251,669.3030,0min41sec
810,-1932.8699,66883.7696,668.9843,0min42sec
820,-1909.4213,66201.1990,668.6441,0min41sec
830,-1886.4509,65526.9037,668.3474,0min41sec
840,-1864.0377,64865.4612,668.0263,0min41sec
850,-1842.1301,64225.6536,667.6727,0min41sec
860,-1820.8062,63606.9672,667.3381,0min41sec
870,-1799.9269,62992.1825,666.9508,0min41sec
880,-1779.4621,62387.7706,666.5474,0min42sec
890,-1759.5469,61796.5907,666.1500,0min41sec
900,-1739.9665,61223.2502,665.7104,0min41sec
910,-1720.9273,60658.5845,665.3249,0min41sec
920,-1702.2611,60103.0348,664.8181,0min40sec
930,-1684.0923,59557.4389,664.2886,0min40sec
940,-1666.2831,59018.9007,663.6783,0min39sec
950,-1648.8242,58489.4908,663.0260,0min40sec
960,-1631.7701,57971.9445,662.3044,0min40sec
970,-1615.3060,57463.5563,661.6449,0min38sec
980,-1598.7563,56963.2921,660.9420,0min38sec
990,-1582.7380,56472.0772,660.2381,0min37sec
1000,-1567.1691,55994.0165,659.5602,0min37sec
1010,-1551.6934,55522.7385,658.8351,0min38sec
1020,-1536.6856,55055.8313,658.0816,0min40sec
