city,x,y
Bengaluru,12.9716,77.5946
Mysuru,12.2958,76.6394
Mandya,12.5223,76.8958
Ramanagara,12.7219,77.2810
Tumakuru,13.3409,77.1010
Hassan,13.0072,76.0960
Chikkamagaluru,13.3161,75.7720
Shivamogga,13.9299,75.5681
Davanagere,14.4644,75.9218
Ballari,15.1394,76.9214
Hospet,15.2695,76.3871
Hubballi,15.3647,75.1240
Dharwad,15.4589,75.0078
Belagavi,15.8497,74.4977
Vijayapura,16.8302,75.7100
Chennai,13.0827,80.2707
Kanchipuram,12.8342,79.7036
Vellore,12.9165,79.1325
Tiruvannamalai,12.2253,79.0747
Salem,11.6643,78.1460
